policy	pdist	pabort	Imiss	Dmiss
m	12	60	0.0382	0.0746
m	12	70	0.0379	0.0734
m	13	0	0.0402	0.0792
m	13	10	0.0400	0.0784
m	13	20	0.0398	0.0776
m	13	30	0.0394	0.0766
m	13	40	0.0393	0.0761
m	13	50	0.0388	0.0750
m	13	60	0.0387	0.0743
m	13	70	0.0380	0.0735
m	14	0	0.0404	0.0799
m	14	10	0.0401	0.0791
m	14	20	0.0400	0.0784
m	14	30	0.0397	0.0775
m	14	40	0.0392	0.0767
m	14	50	0.0391	0.0756
m	14	60	0.0386	0.0747
m	14	70	0.0382	0.0738
m	15	0	0.0404	0.0808
m	15	10	0.0402	0.0798
m	15	20	0.0398	0.0790
m	15	30	0.0396	0.0779
m	15	40	0.0392	0.0771
m	15	50	0.0390	0.0760
m	15	60	0.0386	0.0750
m	15	70	0.0382	0.0737
m	16	0	0.0407	0.0803
m	16	10	0.0405	0.0793
m	16	20	0.0402	0.0784
m	16	30	0.0398	0.0774
m	16	40	0.0395	0.0766
m	16	50	0.0392	0.0756
m	16	60	0.0388	0.0744
m	16	70	0.0382	0.0735
m	17	0	0.0406	0.0798
m	17	10	0.0404	0.0791
m	17	20	0.0400	0.0783
m	17	30	0.0399	0.0775
m	17	40	0.0394	0.0765
m	17	50	0.0393	0.0757
m	17	60	0.0388	0.0745
m	17	70	0.0384	0.0736
m	18	0	0.0407	0.0815
m	18	10	0.0404	0.0804
m	18	20	0.0402	0.0794
m	18	30	0.0400	0.0782
m	18	40	0.0396	0.0773
m	18	50	0.0392	0.0761
m	18	60	0.0389	0.0751
m	18	70	0.0384	0.0738
m	19	0	0.0415	0.0805
m	19	10	0.0412	0.0797
m	19	20	0.0410	0.0786
m	19	30	0.0406	0.0778
m	19	40	0.0402	0.0765
m	19	50	0.0396	0.0757
m	19	60	0.0393	0.0745
m	19	70	0.0386	0.0734
t	0	0	0.0171	0.0704
t	0	10	0.0192	0.0705
t	0	20	0.0214	0.0707
t	0	30	0.0234	0.0709
t	0	40	0.0257	0.0709
t	0	50	0.0275	0.0709
t	0	60	0.0295	0.0705
t	0	70	0.0316	0.0707
t	1	0	0.0171	0.0704
t	1	10	0.0192	0.0705
t	1	20	0.0214	0.0707
t	1	30	0.0234	0.0709
t	1	40	0.0257	0.0709
t	1	50	0.0275	0.0709
t	1	60	0.0295	0.0705
t	1	70	0.0316	0.0707
t	2	0	0.0257	0.0748
t	2	10	0.0271	0.0745
t	2	20	0.0283	0.0742
t	2	30	0.0297	0.0739
t	2	40	0.0308	0.0733
t	2	50	0.0318	0.0731
t	2	60	0.0328	0.0727
t	2	70	0.0340	0.0722
t	3	0	0.0294	0.0761
t	3	10	0.0303	0.0756
t	3	20	0.0314	0.0752
t	3	30	0.0320	0.0748
t	3	40	0.0329	0.0741
t	3	50	0.0337	0.0737
t	3	60	0.0344	0.0729
t	3	70	0.0350	0.0721
t	4	0	0.0321	0.0785
t	4	10	0.0327	0.0778
t	4	20	0.0334	0.0770
t	4	30	0.0341	0.0763
t	4	40	0.0344	0.0755
t	4	50	0.0350	0.0748
t	4	60	0.0354	0.0740
t	4	70	0.0359	0.0730
t	5	0	0.0350	0.0791
t	5	10	0.0353	0.0783
t	5	20	0.0357	0.0776
t	5	30	0.0359	0.0767
t	5	40	0.0362	0.0760
t	5	50	0.0363	0.0751
t	5	60	0.0366	0.0744
t	5	70	0.0364	0.0734
t	6	0	0.0358	0.0783
t	6	10	0.0361	0.0775
t	6	20	0.0363	0.0771
t	6	30	0.0365	0.0764
t	6	40	0.0368	0.0756
t	6	50	0.0369	0.0748
t	6	60	0.0368	0.0740
t	6	70	0.0367	0.0731
t	7	0	0.0371	0.0795
t	7	10	0.0373	0.0788
t	7	20	0.0372	0.0782
t	7	30	0.0375	0.0771
t	7	40	0.0376	0.0763
t	7	50	0.0374	0.0756
t	7	60	0.0374	0.0745
t	7	70	0.0373	0.0735
t	8	0	0.0378	0.0796
t	8	10	0.0378	0.0788
t	8	20	0.0379	0.0778
t	8	30	0.0378	0.0769
t	8	40	0.0377	0.0760
t	8	50	0.0375	0.0749
t	8	60	0.0374	0.0741
t	8	70	0.0372	0.0731
t	9	0	0.0384	0.0793
t	9	10	0.0383	0.0786
t	9	20	0.0383	0.0778
t	9	30	0.0381	0.0769
t	9	40	0.0378	0.0761
t	9	50	0.0376	0.0751
t	9	60	0.0376	0.0740
t	9	70	0.0375	0.0732
t	10	0	0.0381	0.0789
t	10	10	0.0381	0.0782
t	10	20	0.0381	0.0775
t	10	30	0.0379	0.0768
t	10	40	0.0378	0.0758
t	10	50	0.0377	0.0751
t	10	60	0.0376	0.0742
t	10	70	0.0375	0.0733
t	11	0	0.0393	0.0803
t	11	10	0.0390	0.0794
t	11	20	0.0389	0.0784
t	11	30	0.0387	0.0775
t	11	40	0.0384	0.0765
t	11	50	0.0382	0.0755
t	11	60	0.0379	0.0744
t	11	70	0.0377	0.0733
t	12	0	0.0397	0.0806
t	12	10	0.0395	0.0796
t	12	20	0.0393	0.0786
t	12	30	0.0392	0.0777
t	12	40	0.0388	0.0768
t	12	50	0.0386	0.0757
t	12	60	0.0382	0.0745
t	12	70	0.0380	0.0736
t	13	0	0.0404	0.0791
t	13	10	0.0402	0.0783
t	13	20	0.0399	0.0775
t	13	30	0.0395	0.0767
t	13	40	0.0393	0.0758
t	13	50	0.0389	0.0751
t	13	60	0.0385	0.0743
t	13	70	0.0383	0.0734
t	14	0	0.0407	0.0800
t	14	10	0.0404	0.0794
t	14	20	0.0402	0.0785
t	14	30	0.0399	0.0776
t	14	40	0.0397	0.0767
t	14	50	0.0391	0.0759
t	14	60	0.0388	0.0746
t	14	70	0.0383	0.0736
t	15	0	0.0407	0.0809
t	15	10	0.0405	0.0800
t	15	20	0.0401	0.0790
t	15	30	0.0397	0.0781
t	15	40	0.0393	0.0768
t	15	50	0.0390	0.0759
t	15	60	0.0385	0.0749
t	15	70	0.0383	0.0738
t	16	0	0.0412	0.0801
t	16	10	0.0408	0.0792
t	16	20	0.0405	0.0784
t	16	30	0.0400	0.0773
t	16	40	0.0397	0.0766
t	16	50	0.0392	0.0755
t	16	60	0.0389	0.0745
t	16	70	0.0384	0.0735
t	17	0	0.0411	0.0799
t	17	10	0.0408	0.0791
t	17	20	0.0404	0.0783
t	17	30	0.0400	0.0776
t	17	40	0.0396	0.0767
t	17	50	0.0392	0.0756
t	17	60	0.0389	0.0748
t	17	70	0.0385	0.0736
t	18	0	0.0409	0.0816
t	18	10	0.0407	0.0806
t	18	20	0.0404	0.0795
t	18	30	0.0401	0.0785
t	18	40	0.0397	0.0773
t	18	50	0.0393	0.0762
t	18	60	0.0390	0.0750
t	18	70	0.0385	0.0739
t	19	0	0.0418	0.0805
t	19	10	0.0415	0.0796
t	19	20	0.0411	0.0787
t	19	30	0.0408	0.0778
t	19	40	0.0402	0.0768
t	19	50	0.0398	0.0757
t	19	60	0.0394	0.0746
t	19	70	0.0388	0.0736
